table_type,table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sales_group_cd,75,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sales_office_cd,76,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,ship_to_customer_nbr,77,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,shipping_condition_cd,78,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,shipping_type_cd,79,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_billing_status_cd,80,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_drs_qualifier_cd,81,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_document_dt,82,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_fiscal_year_nbr,83,,YES,int,INT,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_billing_incomplete_status_cd,84,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_block_status_cd,85,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_credit_status_cd,86,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_distinct_cnt,87,,YES,int,INT,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_general_incompletion_status_cd,88,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_delivery_block_status_cd,89,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_delivery_confirmation_status_cd,90,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_delivery_incompletion_status_cd,91,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_delivery_status_cd,92,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_pricing_incompletion_status_cd,93,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_reference_status_cd,94,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
